Epoch,Train_Loss,Val_Loss
1,0.155696,0.155382
100,0.110073,0.102190
200,0.102110,0.104838
300,0.108315,0.108422
400,0.106243,0.101262
500,0.105804,0.097794
600,0.108977,0.117730
700,0.103423,0.104121
800,0.105279,0.099640
900,0.097332,0.109168
1000,0.101571,0.101914
1100,0.100167,0.104852
1200,0.100251,0.093845
1300,0.105244,0.107325
1400,0.100778,0.107131
1500,0.098148,0.109830
1600,0.099124,0.093451
1700,0.101278,0.100660
1800,0.099205,0.106513
1900,0.098300,0.096409
2000,0.102750,0.097696
